,edge,edge_text,variables,variables_text
10,((could/Mm/en leave/P.so.-i-----/en) mexico/Cp.s/en nafta/Cp.s/en),Mexico could leave NAFTA,"[{'PRED': [['could/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['mexico/Cp.s/en'], 'TARGET': ['nafta/Cp.s/en']}]","[{'PRED': 'could leave', 'SOURCE': 'Mexico', 'TARGET': 'NAFTA'}]"
11,((could/Mm/en leave/P.sox.-i-----/en) uk/Cp.s/en eu/Cp.s/en (if/T/en (insists/Pd.sx.|f--3s-/en (+/B.am/. david/Cp.s/en cameron/Cp.s/en) (on/T/en (migrant/Ma/en quotas/Cc.p/en))))),UK could leave EU if David Cameron insists on migrant quotas,"[{'PRED': [['could/Mm/en'], ['leave/P.sox.-i-----/en']], 'SOURCE': ['uk/Cp.s/en'], 'TARGET': ['eu/Cp.s/en'], 'TOPIC': [['insists/Pd.sx.|f--3s-/en'], [['+/B.am/.'], ['david/Cp.s/en'], ['cameron/Cp.s/en']], [['on/T/en'], [['migrant/Ma/en'], ['quotas/Cc.p/en']]]]}]","[{'PRED': 'Could Leave', 'SOURCE': 'UK', 'TARGET': 'EU', 'TOPIC': 'David Cameron insists on migrant quotas'}]"
12,((did/Mv.<f-----/en (n't/Mn/en punish/Pd.?soxx.-i-----/en)) (+/B.am/. donald/Cp.s/en trump/Cp.s/en) obama/Cp.s/en russia/Cp.s/en (for/T/en (+/B.am/. election/Cc.s/en meddling/Cc.s/en)) (because/T/en (('/Mv.|f-----/en colluded/Pd.s.<pf----/en) he/Ci/en))),Donald Trump: Obama didn't punish Russia for election meddling because he ' colluded,"[{'PRED': [['did/Mv.<f-----/en'], [[""n't/Mn/en""], ['punish/Pd.?soxx.-i-----/en']]], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [[[""'/Mv.|f-----/en""], ['colluded/Pd.s.<pf----/en']], ['he/Ci/en']]}]","[{'PRED': ""didn't punish"", 'SOURCE': 'Obama', 'TARGET': 'Russia', 'TOPIC': ""he ' colluded""}]"
13,((do/Mv.|f-----/en (not/Mn/en hate/Pd.so.-i-----/en)) i/Ci/en india/Cp.s/en),I do not hate India,"[{'PRED': [['do/Mv.|f-----/en'], [['not/Mn/en'], ['hate/Pd.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'do not hate', 'SOURCE': 'I', 'TARGET': 'India'}]"
14,((do/Mv.|f-----/en (n’t/Mn/en hate/P.so.-i-----/en)) i/Ci/en arabs/Cp.p/en),I don’t hate Arabs,"[{'PRED': [['do/Mv.|f-----/en'], [['n’t/Mn/en'], ['hate/P.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['arabs/Cp.p/en']}]","[{'PRED': 'don’t hate', 'SOURCE': 'I', 'TARGET': 'Arabs'}]"
15,((do/Mv.|f-----/en (n’t/Mn/en know/Pd.so.-i-----/en)) i/Ci/en putin/Cp.s/en),I don’t know Putin,"[{'PRED': [['do/Mv.|f-----/en'], [['n’t/Mn/en'], ['know/Pd.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['putin/Cp.s/en']}]","[{'PRED': 'don’t know', 'SOURCE': 'I', 'TARGET': 'Putin'}]"
16,((does/Mv.|f--3s-/en (n't/Mn/en fight/P.?so.-i-----/en)) (to/Br.ma/en meshal/Cp.s/en (+/B.am/. charlie/Cp.s/en rose/Cp.s/en)) hamas/Cp.s/en jews/Cp.p/en),Meshal to Charlie Rose: Hamas doesn't fight Jews,"[{'PRED': [['does/Mv.|f--3s-/en'], [[""n't/Mn/en""], ['fight/P.?so.-i-----/en']]], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['jews/Cp.p/en']}]","[{'PRED': ""doesn't fight"", 'SOURCE': 'Hamas', 'TARGET': 'Jews'}]"
17,((does/Mv.|f--3s-/en (n't/Mn/en threaten/Pd.sso.-i-----/en)) putin/Cp.s/en (+/B.am/. iran/Cp.s/en (+/B.am/. missiles/Cc.p/en deal/Cc.s/en)) israel/Cp.s/en),Putin: Iran missiles deal doesn't threaten Israel,"[{'PRED': [['does/Mv.|f--3s-/en'], [[""n't/Mn/en""], ['threaten/Pd.sso.-i-----/en']]], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': ""doesn't threaten"", 'SOURCE': 'Putin', 'TARGET': 'Israel'}]"
18,((has/Mv.|f--3s-/en accused/Pd.soxx.<pf----/en) china/Cp.s/en japan/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en smear/P.o.-i-----/en) ('s/Bp.am/en beijing/Cp.s/en image/Cc.s/en)))) (after/T/en (alleged/Pd.sr.<f-----/en tokyo/Cp.s/en (locked/P.soxx.<f-----/en (a/Md/en (chinese/Ma/en warship/Cc.s/en)) (its/Mp/en (+/B.am/. (targeting/Mv.|pg----/en weapons/Cc.p/en) radar/Cc.s/en)) (on/T/en (a/Md/en (japanese/Ma/en vessel/Cc.s/en))) (near/T/en (disputed/Mv.<pf----/en islands/Cc.p/en)))))),"China has accused Japan of trying to ""smear"" Beijing's image, after Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands","[{'PRED': [['has/Mv.|f--3s-/en'], ['accused/Pd.soxx.<pf----/en']], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['alleged/Pd.sr.<f-----/en'], ['tokyo/Cp.s/en'], [['locked/P.soxx.<f-----/en'], [['a/Md/en'], [['chinese/Ma/en'], ['warship/Cc.s/en']]], [['its/Mp/en'], [['+/B.am/.'], [['targeting/Mv.|pg----/en'], ['weapons/Cc.p/en']], ['radar/Cc.s/en']]], [['on/T/en'], [['a/Md/en'], [['japanese/Ma/en'], ['vessel/Cc.s/en']]]], [['near/T/en'], [['disputed/Mv.<pf----/en'], ['islands/Cc.p/en']]]]]}]","[{'PRED': 'has accused', 'SOURCE': 'China', 'TARGET': 'Japan', 'TOPIC': 'Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands'}]"
19,((has/Mv.|f--3s-/en attacked/Pd.so.<pf----/en) france/Cp.s/en islam/Cp.s/en),France has attacked Islam,"[{'PRED': [['has/Mv.|f--3s-/en'], ['attacked/Pd.so.<pf----/en']], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['islam/Cp.s/en']}]","[{'PRED': 'has attacked', 'SOURCE': 'France', 'TARGET': 'Islam'}]"
20,((has/Mv.|f--3s-/en criticized/Pd.rsox.<pf----/en) (reject/P.sso.|f-----/en germany/Cp.s/en eu/Cp.s/en (in/Br.ma/en (+/B.am/. rebel/Ca/en polls/Cc.p/en) (eastern/Ma/en ukraine/Cp.s/en))) germany/Cp.s/en moscow/Cp.s/en (for/T/en (recognizing/P.o.|pg----/en (of/Br.ma/en (the/Md/en results/Cc.p/en) (in/Br.ma/en (the/Md/en elections/Cc.p/en) ((rebel/M/en held/Mv.<pf----/en) (eastern/Ma/en ukraine/Cp.s/en))))))),"Germany, EU reject rebel polls in eastern Ukraine: Germany has criticized Moscow for recognizing the results of the elections in rebel held eastern Ukraine","[{'PRED': [['has/Mv.|f--3s-/en'], ['criticized/Pd.rsox.<pf----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['moscow/Cp.s/en'], 'TOPIC': [['recognizing/P.o.|pg----/en'], [['of/Br.ma/en'], [['the/Md/en'], ['results/Cc.p/en']], [['in/Br.ma/en'], [['the/Md/en'], ['elections/Cc.p/en']], [[['rebel/M/en'], ['held/Mv.<pf----/en']], [['eastern/Ma/en'], ['ukraine/Cp.s/en']]]]]]}]","[{'PRED': 'has criticized', 'SOURCE': 'Germany', 'TARGET': 'Moscow', 'TOPIC': 'recognizing the results of the elections in rebel held eastern Ukraine'}]"
21,((has/Mv.|f--3s-/en criticized/Pd.sox.<pf----/en) wikileaks/Cp.s/en google/Cp.s/en (for/T/en (failing/P.r?.|pg----/en ((to/Mi/en inform/P.ox.-i-----/en) them/Ci/en (about/T/en (+/B.am/. u%2es%2e/Cp.s/en (+/B.am/. search/Cc.s/en warrants/Cc.p/en)))) (issued/P.r.<f-----/en (seeking/P.ox.|pg----/en (and/J/en emails/Cc.p/en (other/Ma/en (personal/Ma/en information/Cc.s/en))) (from/T/en (of/Br.ma/en three/C#/en (its/Mp/en staff/Cc.s/en)))))))),WikiLeaks has criticized Google for failing to inform them about U.S. search warrants issued seeking emails and other personal information from three of its staff,"[{'PRED': [['has/Mv.|f--3s-/en'], ['criticized/Pd.sox.<pf----/en']], 'SOURCE': ['wikileaks/Cp.s/en'], 'TARGET': ['google/Cp.s/en'], 'TOPIC': [['failing/P.r?.|pg----/en'], [[['to/Mi/en'], ['inform/P.ox.-i-----/en']], ['them/Ci/en'], [['about/T/en'], [['+/B.am/.'], ['u%2es%2e/Cp.s/en'], [['+/B.am/.'], ['search/Cc.s/en'], ['warrants/Cc.p/en']]]]], [['issued/P.r.<f-----/en'], [['seeking/P.ox.|pg----/en'], [['and/J/en'], ['emails/Cc.p/en'], [['other/Ma/en'], [['personal/Ma/en'], ['information/Cc.s/en']]]], [['from/T/en'], [['of/Br.ma/en'], ['three/C#/en'], [['its/Mp/en'], ['staff/Cc.s/en']]]]]]]}]","[{'PRED': 'has criticized', 'SOURCE': 'WikiLeaks', 'TARGET': 'Google', 'TOPIC': 'failing to inform them about U.S. search warrants issued seeking emails and other personal information from three of its staff'}]"
22,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) afghanistan/Cp.s/en pakistan/Cp.s/en (that/Tt/en ((will/Mm/en bear/P.sox.-i-----/en) it/Ci/en (of/Br.ma/en (the/Md/en consequences/Cc.p/en) (on/Br.ma/en (more/Mc/en clashes/Cc.p/en) (their/Mp/en (contested/Mv.<pf----/en border/Cc.s/en)))) (erupted/Pd.?sx.<f-----/en (after/Tt/en hours/Cc.p/en) (of/Br.ma/en (a/Md/en (new/Ma/en bout/Cc.s/en)) fighting/Cc.s/en) (between/T/en (the/Md/en neighbors/Cc.p/en)))))),"Afghanistan has warned Pakistan that it will bear the consequences of more clashes on their contested border, hours after a new bout of fighting erupted between the neighbors","[{'PRED': [['has/Mv.|f--3s-/en'], ['warned/Pd.sor.<pf----/en']], 'SOURCE': ['afghanistan/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'has warned', 'SOURCE': 'Afghanistan', 'TARGET': 'Pakistan'}]"
23,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) germany/Cp.s/en serbia/Cp.s/en (that/T/en (hang/P.sxx.|f-----/en (its/Mp/en (+/B.am/. eu/Cp.s/en (+/B.am/. accession/Cc.s/en prospects/Cc.p/en))) (on/T/en (a/Md/en result/Cc.s/en)) (in/T/en (on/Br.ma/en (the/Md/en (ongoing/Ma/en negotiations/Cc.p/en)) kosovo/Cp.s/en))))),Germany has warned Serbia that its EU accession prospects hang on a result in the ongoing negotiations on Kosovo,"[{'PRED': [['has/Mv.|f--3s-/en'], ['warned/Pd.sor.<pf----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['serbia/Cp.s/en']}]","[{'PRED': 'has warned', 'SOURCE': 'Germany', 'TARGET': 'Serbia'}]"
24,((is/Mv.|f--3s-/en denouncing/Pd.so.|pg----/en) texas/Cp.s/en mexico/Cp.s/en),Texas is denouncing Mexico,"[{'PRED': [['is/Mv.|f--3s-/en'], ['denouncing/Pd.so.|pg----/en']], 'SOURCE': ['texas/Cp.s/en'], 'TARGET': ['mexico/Cp.s/en']}]","[{'PRED': 'is denouncing', 'SOURCE': 'Texas', 'TARGET': 'Mexico'}]"
25,((just/M/en killed/Pd.so.<f-----/en) u/Cp.s/en some1/Cc.s/en),U just killed some1,"[{'PRED': [['just/M/en'], ['killed/Pd.so.<f-----/en']], 'SOURCE': ['u/Cp.s/en'], 'TARGET': ['some1/Cc.s/en']}]","[{'PRED': 'Just Killed', 'SOURCE': 'U', 'TARGET': 'some1'}]"
26,((may/Mm/en ask/P.soo.-i-----/en) iraq/Cp.s/en iran/Cp.s/en (against/Br.ma/en help/Cc.s/en isil/Cp.s/en)),Iraq may ask Iran help against ISIL,"[{'PRED': [['may/Mm/en'], ['ask/P.soo.-i-----/en']], 'SOURCE': ['iraq/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'may ask', 'SOURCE': 'Iraq', 'TARGET': 'Iran'}]"
27,((may/Mm/en denies/P.soooo.|f--3s-/en) theresa/Cp.s/en (social/Ma/en care/Cc.s/en) u/Cc.s/en -/Cc.s/en turn/Cc.s/en),Theresa May denies social care U-turn,"[{'PRED': [['may/Mm/en'], ['denies/P.soooo.|f--3s-/en']], 'SOURCE': ['theresa/Cp.s/en'], 'TARGET': ['u/Cc.s/en']}]","[{'PRED': 'May denies', 'SOURCE': 'Theresa', 'TARGET': 'U'}]"
28,((may/Mm/en sue/P.sox.-i-----/en) korea/Cp.s/en japan/Cp.s/en (for/T/en (mishandling/P.o.|pg----/en radiation/Cc.s/en))),Korea may sue Japan for mishandling [radiation,"[{'PRED': [['may/Mm/en'], ['sue/P.sox.-i-----/en']], 'SOURCE': ['korea/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['mishandling/P.o.|pg----/en'], ['radiation/Cc.s/en']]}]","[{'PRED': 'may sue', 'SOURCE': 'Korea', 'TARGET': 'Japan', 'TOPIC': 'mishandling [radiation'}]"
29,((not/Mn/en (to/Mi/en invade/P.so.-i-----/en)) russia/Cp.s/en ukraine/Cp.s/en),Russia not to invade Ukraine,"[{'PRED': [['not/Mn/en'], [['to/Mi/en'], ['invade/P.so.-i-----/en']]], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'not to invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
30,((officially/M/en abandon/P.so?.|f-----/en) italians/Cp.p/en rome/Cp.s/en bid/Cc.s/en),Italians officially abandon Rome bid,"[{'PRED': [['officially/M/en'], ['abandon/P.so?.|f-----/en']], 'SOURCE': ['italians/Cp.p/en'], 'TARGET': ['rome/Cp.s/en']}]","[{'PRED': 'officially abandon', 'SOURCE': 'Italians', 'TARGET': 'Rome'}]"
31,((should/Mm/en (not/Mn/en punish/P.sor.-i-----/en)) eu/Cp.s/en britain/Cp.s/en ((to/Mi/en keep/P.o.-i-----/en) (+/B.am/. city/Cc.s/en benefits/Cc.p/en))),EU ‘should not punish Britain’ to keep City benefits,"[{'PRED': [['should/Mm/en'], [['not/Mn/en'], ['punish/P.sor.-i-----/en']]], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['britain/Cp.s/en']}]","[{'PRED': 'should not punish', 'SOURCE': 'EU', 'TARGET': 'Britain'}]"
32,((should/Mm/en leave/P.so.-i-----/en) americans/Cp.p/en iraq/Cp.s/en),Americans should leave Iraq,"[{'PRED': [['should/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['americans/Cp.p/en'], 'TARGET': ['iraq/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'Americans', 'TARGET': 'Iraq'}]"
33,((should/Mm/en leave/P.so.-i-----/en) roma/Cp.s/en france/Cp.s/en),Roma should leave France,"[{'PRED': [['should/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['roma/Cp.s/en'], 'TARGET': ['france/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'Roma', 'TARGET': 'France'}]"
34,((should/Mm/en leave/Pd.so.-i-----/en) british/Cp.s/en eu/Cp.s/en),should British leave EU,"[{'PRED': [['should/Mm/en'], ['leave/Pd.so.-i-----/en']], 'SOURCE': ['british/Cp.s/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'should leave', 'SOURCE': 'British', 'TARGET': 'EU'}]"
35,((still/M/en detaining/Pd.?sox.|pg----/en) (later/M/en (4/M#/en days/Cc.p/en)) pa/Cp.s/en palestinians/Cp.p/en (for/T/en (visiting/P.o.|pg----/en (’s/Bp.am/en (+/B.am/. settler/Cc.s/en leader/Cc.s/en) sukkah/Cc.p/en)))),"4 days later, PA still detaining Palestinians for visiting settler leader’s sukkah","[{'PRED': [['still/M/en'], ['detaining/Pd.?sox.|pg----/en']], 'SOURCE': ['pa/Cp.s/en'], 'TARGET': ['palestinians/Cp.p/en'], 'TOPIC': [['visiting/P.o.|pg----/en'], [['’s/Bp.am/en'], [['+/B.am/.'], ['settler/Cc.s/en'], ['leader/Cc.s/en']], ['sukkah/Cc.p/en']]]}]","[{'PRED': 'still detaining', 'SOURCE': 'PA', 'TARGET': 'Palestinians', 'TOPIC': 'visiting settler leader’s sukkah'}]"
36,((to/Mi/en ask/Pd.sor.-i-----/en) abbas/Cp.s/en un/Cp.s/en ((to/Mi/en set/P.ox.-i-----/en) (for/Br.ma/en timetable/Cc.s/en (palestinian/Ma/en state/Cc.s/en)) (along/Tt/en (1967/M#/en lines/Cc.p/en)))),Abbas to ask UN to set timetable for Palestinian state along 1967 lines,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['abbas/Cp.s/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Abbas', 'TARGET': 'UN'}]"
37,((to/Mi/en ask/Pd.sor.-i-----/en) australia/Cp.s/en china/Cp.s/en (if/T/en ((will/Mm/en get/P.so.-i-----/en) others/Cc.p/en (to/Br.ma/en access/Cc.s/en (reclaimed/Ma/en (+/B.am/. (+/B.am/. (+/B.am/. south/Cp.s/en china/Cp.s/en) sea/Cp.s/en) islands/Cc.p/en)))))),Australia to ask China if others will get access to reclaimed South China Sea islands,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Australia', 'TARGET': 'China'}]"
38,((to/Mi/en ask/Pd.sor.-i-----/en) germany/Cp.s/en croatia/Cp.s/en ((to/Mi/en extradite/P.ooo.-i-----/en) (alleged/Ma/en ex/Cc.s/en) -/Cc.s/en spy/Cc.s/en)),Germany to ask Croatia to extradite alleged ex -spy,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['croatia/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Germany', 'TARGET': 'Croatia'}]"
39,((to/Mi/en ask/Pd.sor.-i-----/en) israel/Cp.s/en obama/Cp.s/en ((to/Mi/en stop/P.o.-i-----/en) (to/Br.ma/en (from/Br.ma/en (of/Br.ma/en (the/Md/en flow/Cc.s/en) arms/Cc.p/en) syria/Cp.s/en) hezbollah/Cp.s/en))),Israel to ask Obama to stop the flow of arms from Syria to Hezbollah,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['obama/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Israel', 'TARGET': 'Obama'}]"
40,((to/Mi/en ask/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en relinquish/P.ox.-i-----/en) (of/Br.ma/en control/Cc.s/en (chemical/Ma/en weapons/Cc.p/en)) ((to/Mi/en (not/Mn/en attack/P.x.-i-----/en)) (if/T/en (agrees/Pd.s.|f--3s-/en us/Cp.s/en))))),Russia to ask Syria to relinquish control of chemical weapons if US agrees to not attack,"[{'PRED': [['to/Mi/en'], ['ask/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to ask', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
41,"((to/Mi/en commit/Pd.soooo.-i-----/en) china/Cp.s/en (8,000/M#/en troops/Cc.p/en) ($/M/en 1/C#/en) bil/Cp.s/en %2e/Cp.s/en)","China to commit 8,000 troops, $1 bil.","[{'PRED': [['to/Mi/en'], ['commit/Pd.soooo.-i-----/en']], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['bil/Cp.s/en']}]","[{'PRED': 'to commit', 'SOURCE': 'China', 'TARGET': 'bil'}]"
42,((to/Mi/en convince/P.so.-i-----/en) india/Cp.s/en tehran/Cp.s/en),India to convince Tehran,"[{'PRED': [['to/Mi/en'], ['convince/P.so.-i-----/en']], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['tehran/Cp.s/en']}]","[{'PRED': 'to convince', 'SOURCE': 'India', 'TARGET': 'Tehran'}]"
43,((to/Mi/en deport/Pd.so.-i-----/en) canada/Cp.s/en pakistani/Cp.s/en),Canada to deport Pakistani,"[{'PRED': [['to/Mi/en'], ['deport/Pd.so.-i-----/en']], 'SOURCE': ['canada/Cp.s/en'], 'TARGET': ['pakistani/Cp.s/en']}]","[{'PRED': 'to deport', 'SOURCE': 'Canada', 'TARGET': 'Pakistani'}]"
44,((to/Mi/en extradite/Pd.so.-i-----/en) belgium/Cp.s/en paris/Cp.s/en),Belgium to extradite Paris,"[{'PRED': [['to/Mi/en'], ['extradite/Pd.so.-i-----/en']], 'SOURCE': ['belgium/Cp.s/en'], 'TARGET': ['paris/Cp.s/en']}]","[{'PRED': 'to extradite', 'SOURCE': 'Belgium', 'TARGET': 'Paris'}]"
45,((to/Mi/en fight/Pd.so.-i-----/en) washington/Cp.s/en isis/Cp.s/en),Washington to fight ISIS,"[{'PRED': [['to/Mi/en'], ['fight/Pd.so.-i-----/en']], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['isis/Cp.s/en']}]","[{'PRED': 'to ""fight', 'SOURCE': 'Washington', 'TARGET': 'ISIS'}]"
46,((to/Mi/en leave/Pd.sox.-i-----/en) blackberry/Cc.s/en pakistan/Cp.s/en (after/T/en (refusing/P.r.|pg----/en ((to/Mi/en ditch/P.o.-i-----/en) (+/B.am/. user/Cc.s/en privacy/Cc.s/en))))),BlackBerry to leave Pakistan after refusing to ditch user privacy,"[{'PRED': [['to/Mi/en'], ['leave/Pd.sox.-i-----/en']], 'SOURCE': ['blackberry/Cc.s/en'], 'TARGET': ['pakistan/Cp.s/en'], 'TOPIC': [['refusing/P.r.|pg----/en'], [[['to/Mi/en'], ['ditch/P.o.-i-----/en']], [['+/B.am/.'], ['user/Cc.s/en'], ['privacy/Cc.s/en']]]]}]","[{'PRED': 'to leave', 'SOURCE': 'BlackBerry', 'TARGET': 'Pakistan', 'TOPIC': 'refusing to ditch user privacy'}]"
