,edge,edge_text
10,(accuse/Pd.sox.|f-----/en palestinians/Cp.p/en hamas/Cp.s/en (of/T/en (executing/P.o.|pg----/en palestinians/Cp.p/en))),Palestinians accuse Hamas of executing Palestinians
11,(accuse/Pd.sox.|f-----/en palestinians/Cp.p/en israel/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gaza/Cp.s/en truce/Cc.s/en)))),Palestinians accuse Israel of violating Gaza truce
12,(accused/Pd.rsoxx.<f-----/en (says/P.sr.|f--3s-/en britain/Cp.s/en (((highly/M/en likely/M/en) (down/Ml/en shot/P.sa.<f-----/en)) mh17/Cp.s/en (by/T/en ((russian/Ma/en supplied/Mv.<pf----/en) missile/Cc.s/en)))) britain/Cp.s/en russia/Cp.s/en (on/Tt/en saturday/Cp.s/en) (of/T/en (making/P.o.|pg----/en (false/Ma/en (+/B.mm/. claims/Cc.p/en (about/Jr.ma/en mh17/Cp.s/en (crashed/P.sx.<f-----/en that/C/en (in/T/en (eastern/Ma/en ukraine/Cp.s/en))))))))),Britain says highly likely MH17 shot down by Russian-supplied missile: Britain accused Russia on Saturday of making false claims about MH17 that crashed in eastern Ukraine
13,(accused/Pd.sox.<f-----/en australia/Cp.s/en japan/Cp.s/en (of/Tt/en ((out/Ml/en carrying/P.ox.|pg----/en) (commercial/Ma/en whaling/Cc.s/en) (under/Tt/en (on/Br.ma/en (of/Br.ma/en (the/Md/en guise/Cc.s/en) (scientific/Ma/en research/Cc.s/en)) (of/Br.ma/en (the/Md/en (1st/Ma/en day/Cc.s/en)) (+/B.mm/. (+/B.am/. court/Cc.s/en hearings/Cc.p/en) (between/Jr.ma/en (the/Md/en (2/M#/en nations/Cc.p/en)) ((could/Mm/en lead/P.sx.-i-----/en) that/C/en (to/T/en (to/Jr.ma/en (an/Md/en end/Cc.s/en) (whaling/P.x.|pg----/en (in/T/en (the/Md/en antarctic/Cp.s/en)))))))))))))),Australia accused Japan of carrying out commercial whaling under the guise of scientific research on the 1st day of court hearings between the 2 nations that could lead to an end to whaling in the Antarctic
14,(accused/Pd.sox.<f-----/en australia/Cp.s/en japan/Cp.s/en (of/Tt/en ((out/Ml/en carrying/P.oxx.|pg----/en) (commercial/Ma/en whaling/Cc.s/en) (under/T/en (of/Br.ma/en (the/Md/en guise/Cc.s/en) (scientific/Ma/en research/Cc.s/en))) (on/Tt/en (of/Br.ma/en (the/Md/en (first/Ma/en day/Cc.s/en)) (between/Br.ma/en (+/B.am/. court/Cc.s/en hearings/Cc.p/en) (the/Md/en (two/M#/en nations/Cc.p/en)))))))),Australia accused Japan of carrying out commercial whaling under the guise of scientific research on the first day of court hearings between the two nations
15,(accused/Pd.sox.<f-----/en baghdad/Cp.s/en ankara/Cp.s/en (of/T/en ((there/M/en deploying/P.o.|pg----/en) soldiers/Cc.p/en))),Baghdad accused Ankara of deploying soldiers there
16,(accused/Pd.sox.<f-----/en stockholm/Cp.s/en ankara/Cp.s/en (of/T/en (legalising/P.ox.|pg----/en sex/Cc.s/en (with/T/en children/Cc.p/en)))),Stockholm accused Ankara of legalising sex with children
17,(accused/Pd.sox.<f-----/en syria/Cp.s/en israel/Cp.s/en (of/Tt/en (attacking/P.xxx.|pg----/en (near/T/en damascus/Cp.s/en) (for/T/en (the/Md/en (second/Ma/en time/Cc.s/en))) (in/Tt/en (a/Md/en week/Cc.s/en))))),Syria accused Israel of attacking near Damascus for the second time in a week
18,(accused/Pd.sox.<f-----/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (using/P.or.|pg----/en (and/J/en (+/B.am/. sao/Cp.s/en tome/Cp.s/en) ('s/Bp.am/en principe/Cp.s/en (financial/Ma/en woes/Cc.p/en))) ((to/Mi/en push/P.oxx.-i-----/en) (its/Mp/en (+/B.am/. (one/M#/en china/Cm/en) policy/Cc.s/en)) (after/T/en (ended/Pd.so.<f-----/en (the/Md/en (african/Ma/en state/Cc.s/en)) (with/Br.ma/en ties/Cc.p/en (the/Md/en ((self/M/en ruled/Mv.<pf----/en) island/Cc.s/en))))) (with/T/en (saying/P.sr.|pg----/en taipei/Cp.s/en ((would/Mm/en (not/Mn/en help/P.so.-i-----/en)) (the/Md/en move/Cc.s/en) (across/Br.ma/en relations/Cc.p/en (the/Md/en (+/B.am/. taiwan/Cp.s/en strait/Cp.s/en)))))))))),"Taiwan accused China of using Sao Tome and Principe's financial woes to push its ""one China policy after the African state ended ties with the self-ruled island, with Taipei saying the move would not help relations across the Taiwan Strait"
19,(accused/Pd.soxx.<f-----/en russia/Cp.s/en kiev/Cp.s/en (on/Tt/en monday/Cp.s/en) (of/T/en (violating/P.o.|pg----/en (of/Br.ma/en parts/Cc.p/en (for/Br.ma/en (the/Md/en (+/B.am/. minsk/Cp.s/en (+/B.am/. peace/Cc.s/en deal/Cc.s/en))) (+/B.am/. east/Cp.s/en ukraine/Cp.s/en)))))),Russia accused Kiev on Monday of violating parts of the Minsk peace deal for east Ukraine
20,(accuses/P.sox.|f--3s-/en hungary/Cp.s/en croatia/Cp.s/en (of/T/en (violating/P.ox.|pg----/en (international/Ma/en law/Cc.s/en) (as/T/en (continue/Pd.sr.|f-----/en tensions/Cc.p/en ((to/Mi/en rise/P.x.-i-----/en) (over/T/en (in/Br.ma/en chaos/Cc.s/en (the/Md/en balkans/Cp.p/en))))))))),Hungary accuses Croatia of 'violating international law' as tensions continue to rise over chaos in the Balkans
21,(accuses/P.sox.|f--3s-/en poland/Cp.s/en russians/Cp.p/en (of/T/en ((deliberately/M/en causing/P.o.|pg----/en) (+/B.am/. jet/Cc.s/en crash/Cc.s/en)))),Poland accuses Russians of deliberately causing jet crash
22,(accuses/Pd.?sox.|f--3s-/en (+/B.am/. world/Cp.s/en (+/B.am/. war/Cp.s/en ii/Cp.s/en)) russia/Cp.s/en poland/Cp.s/en (of/T/en (starting/P.o.|pg----/en (the/Md/en (global/Ma/en conflict/Cc.s/en))))),World War II: Russia accuses Poland of starting the global conflict
23,(accuses/Pd.rsox.|f--3s-/en ((33/M#/en toll/P.?.|f-----/en) (+/B.am/. assam/Cp.s/en clashes/Cc.p/en)) omar/Cp.s/en modi/Cp.s/en (of/T/en (inciting/P.o.|pg----/en tension/Cc.s/en))),"Assam clashes toll 33, Omar accuses Modi of inciting tension"
24,(accuses/Pd.rsox.|f--3s-/en (gain/P.so.|f-----/en (as/Br.ma/en (with/Br.ma/en (afghan/Ma/en ties/Cc.p/en) (+/B.am/. pakistan/Cp.s/en sour/Ca/en)) taliban/Cp.s/en) strength/Cc.s/en) afghanistan/Cp.s/en pakistan/Cp.s/en (of/T/en (meddling/P.x.|pg----/en (in/T/en (its/Mp/en affairs/Cc.p/en))))),Afghan ties with Pakistan sour as Taliban gain strength: Afghanistan accuses Pakistan of meddling in its affairs
25,(accuses/Pd.sox.|f--3s-/en abbas/Cp.s/en hamas/Cp.s/en (of/T/en (bombing/P.o.|pg----/en (in/Br.ma/en ('/Bp.am/en (+/B.am/. fatah/Cp.s/en officials/Cc.p/en) homes/Cc.p/en) gaza/Cp.s/en)))),Abbas accuses Hamas of bombing Fatah officials' homes in Gaza
26,(accuses/Pd.sox.|f--3s-/en abbas/Cp.s/en israel/Cp.s/en (of/T/en (committing/P.o.|pg----/en genocide/Cc.s/en))),Abbas accuses Israel of committing genocide
27,(accuses/Pd.sox.|f--3s-/en abbas/Cp.s/en israel/Cp.s/en (of/T/en (igniting/P.ox.|pg----/en (religious/Ma/en war/Cc.s/en) (over/T/en (+/B.am/. jerusalem/Cm/en (holy/Ma/en site/Cc.s/en)))))),Abbas accuses Israel of igniting ‘religious war’ over Jerusalem holy site
28,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en iran/Cp.s/en (of/T/en (holding/P.o.|pg----/en (21/M#/en (migrant/Ma/en laborers/Cc.p/en))))),Afghanistan accuses Iran of holding 21 migrant laborers
29,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en iran/Cp.s/en (of/T/en (supporting/P.o.|pg----/en taliban/Cp.s/en))),Afghanistan accuses Iran of supporting Taliban
30,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en pakistan/Cp.s/en (of/T/en (supporting/P.o.|pg----/en (+/B.am/. taliban/Cp.s/en militants/Cc.p/en)))),Afghanistan accuses Pakistan of supporting Taliban militants
31,(accuses/Pd.sox.|f--3s-/en bahrain/Cp.s/en qatar/Cp.s/en (of/T/en (luring/P.or.|pg----/en citizens/Cc.p/en ((to/Mi/en switch/P.o.-i-----/en) (+/B.am/. nationality/Cc.s/en agency/Cc.s/en))))),Bahrain accuses Qatar of luring citizens to switch nationality-agency
32,(accuses/Pd.sox.|f--3s-/en bahrain/Cp.s/en qatar/Cp.s/en (of/T/en (luring/P.oxr.|pg----/en (its/Mp/en citizens/Cc.p/en) (under/T/en (the/Md/en pretext/Cc.s/en)) (that/T/en (have/P.so.|f-----/en they/Ci/en (in/Br.ma/en families/Cc.p/en qatar/Cp.s/en)))))),Bahrain accuses Qatar of ‘luring’ its citizens under the pretext that they have families in Qatar
33,(accuses/Pd.sox.|f--3s-/en canada/Cp.s/en china/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en hack/P.o.-i-----/en) (+/B.am/. government/Cc.s/en network/Cc.s/en))))),Canada accuses China of trying to hack government network
34,(accuses/Pd.sox.|f--3s-/en canada/Cp.s/en qatar/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en buy/P.o.-i-----/en) (+/B.am/. un/Cp.s/en agency/Cc.s/en))))),Canada accuses Qatar of trying to buy UN agency
35,(accuses/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (of/T/en (raising/P.ox.|pg----/en tensions/Cc.p/en (after/T/en (says/Pd.sr.|f--3s-/en tokyo/Cp.s/en ((has/Mv.|f--3s-/en increased/P.so.<pf----/en) it/Ci/en (+/B.am/. jet/Cc.s/en scrambles/Cc.p/en))))))),China accuses Japan of raising tensions after Tokyo says it has increased jet scrambles
36,(accuses/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (of/T/en (threatening/P.o.|pg----/en (with/Br.ma/en (+/B.am/. pacific/Cp.s/en peace/Cc.s/en) (military/Ma/en law/Cc.s/en))))),China accuses Japan of threatening Pacific peace with military law
37,(accuses/Pd.sox.|f--3s-/en ecuador/Cp.s/en uk/Cp.s/en (of/T/en (violating/P.o.|pg----/en ('s/Bp.am/en assange/Cp.s/en (human/Ma/en rights/Cc.p/en))))),Ecuador accuses UK of 'violating Assange's human rights
38,(accuses/Pd.sox.|f--3s-/en egypt/Cp.s/en hamas/Cp.s/en (of/T/en (conspiring/P.r.|pg----/en ((to/Mi/en oust/P.o.-i-----/en) sisi/Cp.s/en)))),Egypt accuses Hamas of conspiring to oust Sisi
39,(accuses/Pd.sox.|f--3s-/en eu/Cp.s/en palestinians/Cp.p/en (of/T/en (wasting/P.o.|pg----/en (in/Br.ma/en (€/M/en (2/M#/en billion/C#/en)) aid/Cc.s/en)))),EU accuses Palestinians of wasting €2 billion in aid
40,(accuses/Pd.sox.|f--3s-/en europe/Cp.s/en russia/Cp.s/en (of/T/en (ignoring/P.o.|pg----/en (on/Jr.ma/en advice/Cp.s/en (fighting/P.o.|pg----/en racism/Cc.s/en))))),Europe Accuses Russia of Ignoring Advice on Fighting Racism
41,(accuses/Pd.sox.|f--3s-/en finland/Cp.s/en russia/Cp.s/en (of/T/en (violating/P.o.|pg----/en (its/Mp/en airspace/Cp.s/en)))),Finland Accuses Russia of Violating Its Airspace
42,(accuses/Pd.sox.|f--3s-/en germany/Cp.s/en france/Cp.s/en (of/T/en (being/P.c.|pg----/en ('s/Bp.am/en europe/Cp.s/en (biggest/Ms/en (+/B.am/. problem/Cc.s/en child/Cc.s/en)))))),Germany accuses France of being 'Europe's biggest problem child
43,(accuses/Pd.sox.|f--3s-/en ghani/Cp.s/en pakistan/Cp.s/en (of/T/en (launching/P.ox.|pg----/en (undeclared/Ma/en war/Cc.s/en) (on/T/en afghanistan/Cp.s/en)))),Ghani accuses Pakistan of launching 'undeclared war' on Afghanistan
44,(accuses/Pd.sox.|f--3s-/en hamas/Cp.s/en egypt/Cp.s/en (of/T/en (flooding/P.o.|pg----/en (+/B.am/. gaza/Cp.s/en border/Cc.s/en)))),Hamas accuses Egypt of flooding Gaza border
45,(accuses/Pd.sox.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en (of/T/en (being/P.cx.|pg----/en (terrorist/Ma/en state/Cc.s/en) (after/T/en (in/Br.ma/en (17/M#/en die/Cc.s/en) kashmir/Cp.s/en))))),India accuses Pakistan of being 'terrorist state' after 17 die in Kashmir
46,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (of/T/en (being/P.x.|pg----/en (behind/T/en (+/B.am/. beirut/Cp.s/en bombings/Cc.p/en))))),Iran accuses Israel of being behind Beirut bombings
47,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (of/T/en (hiring/P.ox.|pg----/en assassins/Cc.p/en ((out/Ml/en (to/Mi/en take/Pd.o.-i-----/en)) (nuclear/Ma/en scientists/Cc.p/en))))),Iran accuses Israel of hiring assassins to take out nuclear scientists
48,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en russia/Cp.s/en (of/T/en (giving/P.io.|pg----/en israel/Cp.s/en (for/Br.ma/en codes/Cc.p/en (syrian/Ma/en (+/B.am/. air/Cc.s/en defense/Cc.s/en)))))),Iran accuses Russia of giving Israel codes for Syrian air defense
49,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en russia/Cp.s/en (of/T/en (giving/P.io.|pg----/en israel/Cp.s/en (for/Br.ma/en codes/Cc.p/en (syrian/Ma/en (+/B.am/. air/Cc.s/en defenses/Cc.p/en)))))),Iran accuses Russia of giving Israel codes for Syrian air defenses
50,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en abbas/Cp.s/en (of/T/en (sabotaging/P.ox.|pg----/en (+/B.am/. peace/Cc.s/en efforts/Cc.p/en) (as/T/en (moves/Pd.sr.|f--3s-/en (palestinian/Ma/en president/Cc.s/en) ((to/Mi/en form/P.ox.-i-----/en) government/Cc.s/en (with/T/en hamas/Cp.s/en))))))),Israel accuses Abbas of sabotaging peace efforts as Palestinian president moves to form government with Hamas
51,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en britain/Cp.s/en (of/T/en ((secretly/M/en playing/P.o.|pg----/en) (in/Br.ma/en (+/B.am/. lead/Cc.s/en role/Cc.s/en) (on/Br.ma/en (+/B.am/. un/Cp.s/en resolution/Cc.s/en) settlements/Cc.p/en))))),Israel accuses Britain of secretly playing lead role in UN resolution on settlements
52,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en facebook/Cp.s/en (of/T/en (contributing/P.x.|pg----/en (to/T/en (+/B.am/. (+/B.am/. west/Cp.s/en bank/Cp.s/en) violence/Cp.s/en))))),Israel Accuses Facebook of Contributing to West Bank Violence
53,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en hamas/Cp.s/en (of/T/en (abusing/P.o?.|pg----/en permits/Cc.p/en (issued/P.x.<pf----/en (to/T/en (+/B.am/. gaza/Cp.s/en residents/Cc.p/en)))))),Israel accuses Hamas of abusing permits issued to Gaza residents
54,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en hamas/Cp.s/en (of/T/en (keeping/P.o.|pg----/en (+/B.am/. gaza/Cp.s/en crossing/Cc.s/en)))),Israel accuses Hamas of keeping Gaza crossing
55,(accuses/Pd.sox.|f--3s-/en italy/Cp.s/en germany/Cp.s/en (of/T/en (undermining/P.o.|pg----/en (its/Mp/en (+/B.am/. economic/Cp.s/en efforts/Cp.p/en))))),Italy Accuses Germany of Undermining Its Economic Efforts
56,(accuses/Pd.sox.|f--3s-/en kathmandu/Cp.s/en delhi/Cp.s/en (of/T/en (backing/P.ox.|pg----/en plot/Cc.s/en ((to/Mi/en topple/Pd.o.-i-----/en) government/Cc.s/en)))),Kathmandu accuses Delhi of backing plot to topple government
57,(accuses/Pd.sox.|f--3s-/en kiev/Cp.s/en moscow/Cp.s/en (of/T/en (sending/P.ox.|pg----/en (more/Mc/en arms/Cc.p/en) (to/T/en separatists/Cc.p/en)))),Kiev accuses Moscow of sending more arms to separatists
58,(accuses/Pd.sox.|f--3s-/en kiev/Cp.s/en russia/Cp.s/en (of/T/en (sending/P.ox.|pg----/en (more/Mc/en tanks/Cc.p/en) (to/T/en (+/B.am/. east/Cp.s/en ukraine/Cp.s/en))))),Kiev accuses Russia of sending more tanks to east Ukraine
59,(accuses/Pd.sox.|f--3s-/en milf/Cp.s/en afp/Cp.s/en (of/T/en (violating/P.o.|pg----/en ceasefire/Cc.s/en))),MILF... ...accuses AFP of violating ceasefire
60,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en canada/Cp.s/en (of/T/en ((back/M/en bringing/P.o.|pg----/en) (the/Md/en (+/B.am/. cold/Cp.s/en war/Cp.s/en))))),Moscow accuses Canada of bringing back the Cold War
61,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en germany/Cp.s/en (of/T/en ((up/Ml/en hushing/P.o.|pg----/en) ('s/Bp.am/en (russian/Ma/en girl/Cc.s/en) rape/Cc.s/en)))),Moscow accuses Germany of hushing up Russian girl's rape
62,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en nato/Cp.s/en (of/T/en (exploiting/P.o.-------/en (+/B.am/. ukraine/Cp.s/en crisis/Cp.s/en)))),Moscow Accuses NATO of 'Exploiting' Ukraine Crisis
63,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en nato/Cp.s/en (of/T/en (selling/P.o.|pg----/en (+/B.am/. soap/Cc.s/en bubbles/Cc.p/en)))),"Moscow accuses NATO of ""selling soap bubbles"
64,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en washington/Cp.s/en (of/T/en (destroying/P.oo.|pg----/en u%2es%2e-russia/Cp.s/en relations/Cc.p/en))),Moscow accuses Washington of destroying U.S.-Russia relations
65,(accuses/Pd.sox.|f--3s-/en nato/Cp.s/en russia/Cp.s/en (of/T/en (violating/P.o.|pg----/en ('s/Bp.am/en ukraine/Cp.s/en sovereignty/Cc.s/en)))),NATO accuses Russia of violating Ukraine's sovereignty
66,(accuses/Pd.sox.|f--3s-/en pentagon/Cp.s/en russia/Cp.s/en (of/T/en (over/Jr.ma/en (playing/P.x.|pg----/en (with/T/en fire/Cc.s/en)) (nuclear/Ma/en threats/Cc.p/en)))),Pentagon accuses Russia of 'playing with fire' over nuclear threats
67,(accuses/Pd.sox.|f--3s-/en philippines/Cp.s/en china/Cp.s/en (of/T/en (building/P.o.|pg----/en (on/Br.ma/en (secret/Ma/en (military/Ma/en base/Cc.s/en)) (in/Br.ma/en (disputed/Mv.<pf----/en territory/Cc.s/en) (+/B.am/. (+/B.am/. south/Cp.s/en china/Cp.s/en) sea/Cp.s/en)))))),Philippines accuses China of building secret military base on disputed territory in South China Sea
68,(accuses/Pd.sox.|f--3s-/en putin/Cp.s/en ukraine/Cp.s/en (of/T/en (sabotaging/P.o.|pg----/en (+/B.am/. gas/Cc.s/en talks/Cc.p/en)))),Putin accuses Ukraine of sabotaging gas talks
69,(accuses/Pd.sox.|f--3s-/en qatar/Cp.s/en uae/Cp.s/en (of/T/en (supporting/P.o.|pg----/en 9%2f11/C#/en))),Qatar Accuses UAE Of Supporting 9/11
70,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en nato/Cp.s/en (of/T/en (living/P.x.|pg----/en (in/T/en (an/Md/en (alternative/Ma/en reality/Cc.s/en)))))),"Russia accuses NATO of living in an ""alternative reality"
71,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en uk/Cp.s/en (of/T/en (delaying/P.o.|pg----/en (for/Br.ma/en visas/Cc.p/en embassy/Cp.s/en)))),Russia accuses UK of delaying visas for Embassy
72,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en (of/T/en (committing/P.o.|pg----/en (of/Br.ma/en genocide/Cc.s/en (russian/Ma/en speakers/Cc.p/en))))),Russia accuses Ukraine of committing ‘genocide of Russian speakers
73,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en get/P.ox.-i-----/en) saboteurs/Cc.p/en (into/T/en crimea/Cp.s/en))))),Russia accuses Ukraine of trying to get saboteurs into Crimea
74,(accuses/Pd.sox.|f--3s-/en saudi/Cp.s/en iran/Cp.s/en (of/T/en (undermining/P.o.|pg----/en (regional/Ma/en security/Cc.s/en)))),Saudi accuses Iran of undermining regional security
75,(accuses/Pd.sox.|f--3s-/en syria/Cp.s/en israel/Cp.s/en (of/T/en (bombing/P.o.|pg----/en (+/B.am/. damascus/Cp.s/en airport/Cc.s/en)))),Syria accuses Israel of bombing Damascus airport
76,(accuses/Pd.sox.|f--3s-/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (abducting/P.o.|pg----/en (its/Mp/en citizens/Cc.p/en)))),Taiwan accuses China of abducting its citizens
77,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en ((down/Ml/en shooting/P.o.|pg----/en) (of/Br.ma/en one/C#/en (over/Br.ma/en (its/Mp/en (military/Ma/en aircraft/Cc.s/en)) (ukrainian/Ma/en territory/Cc.s/en)))))),Ukraine accuses Russia of shooting down one of its military aircraft over Ukrainian territory
78,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (declaring/P.o.|pg----/en war/Cc.s/en))),Ukraine Accuses Russia Of Declaring War
79,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (deploying/P.ox.|pg----/en troops/Cc.p/en (in/T/en crimea/Cp.s/en)))),Ukraine accuses Russia of deploying troops in Crimea
80,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (helping/P.r.|pg----/en (destroy/P.o.-i-----/en (in/Br.ma/en evidence/Cc.s/en (+/B.am/. (+/B.aa/. malaysia/Cp.s/en airlines/Cm/en) (+/B.am/. (17/M#/en flight/Cm/en) crash/Cc.s/en))))))),Ukraine accuses Russia of helping destroy evidence in Malaysia Airlines Flight 17 crash
81,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (letting/P.r.|pg----/en ((in/Ml/en bring/P.so.-i-----/en) rebels/Cc.p/en tanks/Cc.p/en)))),Ukraine accuses Russia of letting rebels bring in tanks
82,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (opening/P.ox.|pg----/en (new/Ma/en (+/B.am/. war/Cc.s/en front/Cc.s/en)) (before/T/en ('/Bp.am/en leaders/Cc.p/en meeting/Cc.s/en))))),Ukraine accuses Russia of opening new war front before leaders' meeting
83,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (sending/P.x.|pg----/en (in/T/en tanks/Cc.p/en)))),Ukraine Accuses Russia Of Sending In Tanks
